date,airline,delay,cancelled
2005-1-01,Atlantic Southeast Airlines,482267.0,2019.0
2005-1-01,Comair,655588.0,2365.0
2005-1-01,Continental Air Lines,317049.0,318.0
2005-1-01,Delta Air Lines,916486.0,3316.0
2005-1-01,ExpressJet Airlines,585475.0,859.0
2005-1-01,Hawaiian Airlines,23327.0,21.0
2005-1-01,Independence Air,273486.0,1170.0
2005-1-01,JetBlue Airways,259068.0,233.0
2005-1-01,Northwest Airlines,776059.0,898.0
2005-1-01,SkyWest Airlines,823962.0,2145.0
2005-1-01,Southwest Airlines,1640909.0,1759.0
2005-1-01,US Airways,836363.0,1799.0
2005-1-01,United Air Lines,1207209.0,1208.0
2005-10-01,ATA Airlines d/b/a ATA,47310.0,61.0
2005-10-01,AirTran Airways,359507.0,267.0
2005-10-01,Alaska Airlines,198413.0,193.0
2005-10-01,America West Airlines,179208.0,214.0
2005-10-01,American Airlines,708941.0,1297.0
2005-10-01,American Eagle Airlines,599041.0,1000.0
2005-10-01,Atlantic Southeast Airlines,411851.0,649.0
2005-10-01,Comair,283996.0,641.0
2005-10-01,Continental Air Lines,427871.0,363.0
2005-10-01,Delta Air Lines,555915.0,1576.0
2005-10-01,ExpressJet Airlines,644788.0,832.0
2005-10-01,Frontier Airlines,93772.0,59.0
2005-10-01,Hawaiian Airlines,17958.0,0.0
2005-10-01,Independence Air,119273.0,111.0
2005-10-01,JetBlue Airways,172503.0,294.0
2005-10-01,Northwest Airlines,552199.0,473.0
2005-10-01,SkyWest Airlines,428516.0,496.0
2005-10-01,Southwest Airlines,1174519.0,874.0
2005-10-01,US Airways,433083.0,675.0
2005-10-01,United Air Lines,587536.0,400.0
2005-11-01,ATA Airlines d/b/a ATA,42786.0,39.0
2005-11-01,AirTran Airways,377176.0,81.0
2005-11-01,Alaska Airlines,242413.0,121.0
2005-11-01,America West Airlines,166180.0,157.0
2005-11-01,American Airlines,824129.0,223.0
2005-11-01,American Eagle Airlines,779334.0,774.0
2005-11-01,Atlantic Southeast Airlines,425899.0,469.0
2005-11-01,Comair,390484.0,750.0
2005-11-01,Continental Air Lines,366006.0,34.0
2005-11-01,Delta Air Lines,752744.0,376.0
2005-11-01,ExpressJet Airlines,586874.0,444.0
2005-11-01,Frontier Airlines,50695.0,9.0
2005-11-01,Hawaiian Airlines,13074.0,9.0
2005-11-01,Independence Air,74525.0,24.0
2005-11-01,JetBlue Airways,182392.0,2.0
2005-11-01,Northwest Airlines,623142.0,351.0
2005-11-01,SkyWest Airlines,575949.0,823.0
2005-11-01,Southwest Airlines,932201.0,470.0
2005-11-01,US Airways,325744.0,171.0
2005-11-01,United Air Lines,615057.0,259.0
2005-12-01,ATA Airlines d/b/a ATA,62905.0,47.0
2005-12-01,AirTran Airways,570800.0,194.0
2005-12-01,Alaska Airlines,351683.0,172.0
2005-12-01,America West Airlines,253553.0,245.0
2005-12-01,American Airlines,1321796.0,1029.0
2005-12-01,American Eagle Airlines,1112422.0,1763.0
2005-12-01,Atlantic Southeast Airlines,558260.0,753.0
2005-12-01,Comair,472542.0,670.0
2005-12-01,Continental Air Lines,585434.0,170.0
2005-12-01,Delta Air Lines,871247.0,794.0
2005-12-01,ExpressJet Airlines,880061.0,925.0
2005-12-01,Frontier Airlines,133598.0,21.0
2005-12-01,Hawaiian Airlines,20692.0,1.0
2005-12-01,Independence Air,85994.0,31.0
2005-12-01,JetBlue Airways,386968.0,35.0
2005-12-01,Northwest Airlines,917158.0,346.0
2005-12-01,SkyWest Airlines,1156452.0,1445.0
2005-12-01,Southwest Airlines,1391939.0,1017.0
2005-12-01,US Airways,440696.0,351.0
2005-12-01,United Air Lines,1247803.0,742.0
2005-2-01,ATA Airlines d/b/a ATA,51811.0,53.0
2005-2-01,AirTran Airways,378601.0,144.0
2005-2-01,Alaska Airlines,284251.0,206.0
2005-2-01,America West Airlines,246005.0,215.0
2005-2-01,American Airlines,720320.0,736.0
2005-2-01,American Eagle Airlines,567653.0,1116.0
2005-2-01,Atlantic Southeast Airlines,521054.0,1360.0
2005-2-01,Comair,351929.0,972.0
2005-2-01,Continental Air Lines,344891.0,120.0
2005-2-01,Delta Air Lines,833962.0,1188.0
2005-2-01,ExpressJet Airlines,454467.0,480.0
2005-2-01,Hawaiian Airlines,10045.0,1.0
2005-2-01,Independence Air,195045.0,97.0
2005-2-01,JetBlue Airways,143149.0,10.0
2005-2-01,Northwest Airlines,605192.0,518.0
2005-2-01,SkyWest Airlines,454949.0,742.0
2005-2-01,Southwest Airlines,1279297.0,565.0
2005-2-01,US Airways,694152.0,722.0
2005-2-01,United Air Lines,605466.0,260.0
2005-3-01,ATA Airlines d/b/a ATA,66547.0,40.0
2005-3-01,AirTran Airways,611791.0,162.0
2005-3-01,Alaska Airlines,337315.0,196.0
2005-3-01,America West Airlines,189656.0,165.0
2005-3-01,American Airlines,1021762.0,473.0
2005-3-01,American Eagle Airlines,649369.0,1344.0
2005-3-01,Atlantic Southeast Airlines,512049.0,1201.0
2005-3-01,Comair,412760.0,1267.0
2005-3-01,Continental Air Lines,523364.0,142.0
2005-3-01,Delta Air Lines,1267477.0,1450.0
2005-3-01,ExpressJet Airlines,550047.0,420.0
2005-3-01,Hawaiian Airlines,29217.0,6.0
2005-3-01,Independence Air,241442.0,117.0
2005-3-01,JetBlue Airways,280621.0,89.0
2005-3-01,Northwest Airlines,755948.0,562.0
2005-3-01,SkyWest Airlines,522224.0,654.0
2005-3-01,Southwest Airlines,1346734.0,672.0
2005-3-01,US Airways,998170.0,997.0
2005-3-01,United Air Lines,724147.0,212.0
2005-4-01,ATA Airlines d/b/a ATA,26732.0,16.0
2005-4-01,AirTran Airways,353440.0,148.0
2005-4-01,Alaska Airlines,284125.0,236.0
2005-4-01,America West Airlines,154919.0,104.0
2005-4-01,American Airlines,651819.0,358.0
2005-4-01,American Eagle Airlines,540046.0,987.0
2005-4-01,Atlantic Southeast Airlines,425604.0,950.0
2005-4-01,Comair,276191.0,641.0
2005-4-01,Continental Air Lines,328046.0,52.0
2005-4-01,Delta Air Lines,749904.0,1016.0
2005-4-01,ExpressJet Airlines,397007.0,256.0
2005-4-01,Hawaiian Airlines,16997.0,5.0
2005-4-01,Independence Air,160401.0,151.0
2005-4-01,JetBlue Airways,178824.0,43.0
2005-4-01,Northwest Airlines,446969.0,317.0
2005-4-01,SkyWest Airlines,364441.0,774.0
2005-4-01,Southwest Airlines,703113.0,285.0
2005-4-01,US Airways,505889.0,459.0
2005-4-01,United Air Lines,414440.0,734.0
2005-5-01,ATA Airlines d/b/a ATA,25358.0,17.0
2005-5-01,AirTran Airways,275330.0,80.0
2005-5-01,Alaska Airlines,524616.0,301.0
2005-5-01,America West Airlines,171818.0,163.0
2005-5-01,American Airlines,803449.0,238.0
2005-5-01,American Eagle Airlines,661986.0,1083.0
2005-5-01,Atlantic Southeast Airlines,397815.0,729.0
2005-5-01,Comair,224108.0,375.0
2005-5-01,Continental Air Lines,286040.0,44.0
2005-5-01,Delta Air Lines,630499.0,759.0
2005-5-01,ExpressJet Airlines,396535.0,175.0
2005-5-01,Frontier Airlines,72028.0,10.0
2005-5-01,Hawaiian Airlines,11228.0,6.0
2005-5-01,Independence Air,190886.0,39.0
2005-5-01,JetBlue Airways,86172.0,0.0
2005-5-01,Northwest Airlines,424355.0,183.0
2005-5-01,SkyWest Airlines,361828.0,561.0
2005-5-01,Southwest Airlines,831991.0,322.0
2005-5-01,US Airways,382472.0,339.0
2005-5-01,United Air Lines,721478.0,453.0
2005-6-01,ATA Airlines d/b/a ATA,66711.0,36.0
2005-6-01,AirTran Airways,562509.0,149.0
2005-6-01,Alaska Airlines,711423.0,426.0
2005-6-01,America West Airlines,221372.0,166.0
2005-6-01,American Airlines,1414366.0,400.0
2005-6-01,American Eagle Airlines,879186.0,1234.0
2005-6-01,Atlantic Southeast Airlines,568232.0,1109.0
2005-6-01,Comair,361101.0,1046.0
2005-6-01,Continental Air Lines,438458.0,104.0
2005-6-01,Delta Air Lines,1071933.0,1390.0
2005-6-01,ExpressJet Airlines,620776.0,688.0
2005-6-01,Frontier Airlines,87796.0,1.0
2005-6-01,Hawaiian Airlines,19386.0,8.0
2005-6-01,Independence Air,388223.0,345.0
2005-6-01,JetBlue Airways,227837.0,20.0
2005-6-01,Northwest Airlines,950118.0,510.0
2005-6-01,SkyWest Airlines,543199.0,519.0
2005-6-01,Southwest Airlines,1412766.0,336.0
2005-6-01,US Airways,921400.0,896.0
2005-6-01,United Air Lines,1217006.0,533.0
2005-7-01,ATA Airlines d/b/a ATA,94106.0,40.0
2005-7-01,AirTran Airways,870079.0,142.0
2005-7-01,Alaska Airlines,476180.0,99.0
2005-7-01,America West Airlines,322765.0,257.0
2005-7-01,American Airlines,2074905.0,820.0
2005-7-01,American Eagle Airlines,1180844.0,1786.0
2005-7-01,Atlantic Southeast Airlines,742171.0,1764.0
2005-7-01,Comair,465385.0,1296.0
2005-7-01,Continental Air Lines,781077.0,152.0
2005-7-01,Delta Air Lines,1798660.0,2101.0
2005-7-01,ExpressJet Airlines,1059814.0,1306.0
2005-7-01,Frontier Airlines,99081.0,17.0
2005-7-01,Hawaiian Airlines,17029.0,4.0
2005-7-01,Independence Air,437144.0,415.0
2005-7-01,JetBlue Airways,348888.0,47.0
2005-7-01,Northwest Airlines,1120359.0,1051.0
2005-7-01,SkyWest Airlines,508473.0,674.0
2005-7-01,Southwest Airlines,1980965.0,443.0
2005-7-01,US Airways,1134939.0,819.0
2005-7-01,United Air Lines,1180315.0,618.0
2005-8-01,ATA Airlines d/b/a ATA,56748.0,11.0
2005-8-01,AirTran Airways,657306.0,281.0
2005-8-01,Alaska Airlines,420271.0,139.0
