month,airline,delay
2004-06,Midwest Express Airlines,
2004-06,Northwest Airlines,
2004-06,Olympic Airways,
2004-06,Qantus Airways,
2004-06,Royal Wings Airlines,
2004-06,Saudi Arabian Airlines,
2004-06,Scandinavian Airlines Systems,
2004-06,Singapore Airlines,
2004-06,Skywest Airlines Inc USA,
2004-06,Southwest Airlines,
2004-06,Spirit Airlines,
2004-06,Sun Country Airlines,
2004-06,Swiss Air,
2004-06,Turkish Airlines,
2004-06,UAL,
2004-06,US Express,
2004-06,USA 3000 (U5,
2004-06,USAir,
2004-06,Virgin Atlantic,
2004-06,Virgin Express,
2004-07,Air Canada,
2004-07,Air France,
2004-07,Air Jamaica,
2004-07,Air Tran Airlines(do not use,
2004-07,AirTran Airlines,
2004-07,Alaska Airlines,
2004-07,Alitalia,
2004-07,Aloha Airlines,
2004-07,America Trans Air,
2004-07,America West,
2004-07,American Airlines,
2004-07,American Eagle,
2004-07,American West,
2004-07,British Airways,
2004-07,China Airlines,
2004-07,Continental Airlines,
2004-07,Continental Express,
2004-07,Delta (Song,
2004-07,Delta Air Lines,
2004-07,Frontier Airlines,
2004-07,Hawaiian Airlines,
2004-07,Hooters Air (PACE,
2004-07,Horizon Air,
2004-07,Iceland Air,
2004-07,Independence Air,
2004-07,Jet Blue,
2004-07,Korean Airlines,
2004-07,Kuwait Airlines,
2004-07,Lufthansa,
2004-07,Mexicana,
2004-07,Midwest Express Airlines,
2004-07,Northwest Airlines,
2004-07,Northwest International Airways,
2004-07,Olympic Airways,
2004-07,Pan American Airways,
2004-07,Qantus Airways,
2004-07,Scandinavian Airlines Systems,
2004-07,Singapore Airlines,
2004-07,Skywest Airlines Australia,
2004-07,Skywest Airlines Inc USA,
2004-07,Southeast Airlines,
2004-07,Southwest Airlines,
2004-07,Spirit Airlines,
2004-07,Swiss Air,
2004-07,Tran Meridian Airlines,
2004-07,Turkish Airlines,
2004-07,UAL,
2004-07,US Express,
2004-07,USA 3000 (U5,
2004-07,USAir,
2004-07,Virgin Atlantic,
2004-08,Aer Lingus,
2004-08,Aero Mexico,
2004-08,Air Canada,
2004-08,Air France,
2004-08,Air Jamaica,
2004-08,Air Tran Airlines(do not use,
2004-08,AirTran Airlines,
2004-08,Alaska Airlines,
2004-08,Allegiant Air,
2004-08,Aloha Airlines,
2004-08,America Trans Air,
2004-08,America West,
2004-08,American Airlines,
2004-08,American Eagle,
2004-08,American West,
2004-08,Austrian Airlines,
2004-08,British Airways,
2004-08,Comair,
2004-08,Continental Airlines,
2004-08,Continental Express,
2004-08,Delta (Song,
2004-08,Delta Air Lines,
2004-08,EL AL Israeli Airlines,
2004-08,Frontier Airlines,
2004-08,Hawaiian Airlines,
2004-08,Horizon Air,
2004-08,Iceland Air,
2004-08,Independence Air,
2004-08,Island Airlines Nantucket,
2004-08,Jet Blue,
2004-08,KLM Royal Dutch Airlines,
2004-08,Korean Airlines,
2004-08,LOT Polish Airlines,
2004-08,Lan Airlines,
2004-08,Lufthansa,
2004-08,Malaysian Airline System,
2004-08,Mexicana,
2004-08,Midwest Express Airlines,
2004-08,Northwest Airlines,
2004-08,Northwest International Airways,
2004-08,OMNI Air Express- (OY,
2004-08,Pace Airlines,
2004-08,Pan American Airways,
2004-08,Qantus Airways,
2004-08,Scandinavian Airlines Systems,
2004-08,Singapore Airlines,
2004-08,Skywest Airlines Inc USA,
2004-08,South African Airways,
2004-08,Southeast Airlines,
2004-08,Southwest Airlines,
2004-08,Spirit Airlines,
2004-08,Sun Country Airlines,
2004-08,Swiss Air,
2004-08,Tran Meridian Airlines,
2004-08,UAL,
2004-08,US Express,
2004-08,USA 3000 (U5,
2004-08,USAir,
2004-08,Virgin Atlantic,
2004-09,Aer Lingus,
2004-09,Aero Flot,
2004-09,Air Canada,
2004-09,Air France,
2004-09,Air New Zealand,
2004-09,Air Tran Airlines(do not use,
2004-09,AirTran Airlines,
2004-09,Alaska Airlines,
2004-09,Allegiant Air,
2004-09,Aloha Airlines,
2004-09,America Trans Air,
2004-09,America West,
2004-09,American Airlines,
2004-09,American Central,
2004-09,American Eagle,
2004-09,American West,
2004-09,Austrian Airlines,
2004-09,British Airways,
2004-09,Cayman Airlines,
2004-09,Comair,
2004-09,Continental Airlines,
2004-09,Czech Airlines,
2004-09,Delta (Song,
2004-09,Delta Air Lines,
2004-09,Frontier Airlines,
2004-09,Frontier Aviation,
2004-09,Hawaiian Airlines,
2004-09,Horizon Air,
2004-09,Indian Airlines,
2004-09,Island Airlines Nantucket,
2004-09,Jet Blue,
2004-09,KLM Royal Dutch Airlines,
2004-09,Kuwait Airlines,
2004-09,Lufthansa,
2004-09,Midwest Express Airlines,
2004-09,Northwest Airlines,
2004-09,Northwest International Airways,
2004-09,Olympic Airways,
2004-09,Pacific Southwest Airlines,
2004-09,Pakistan International Airlines Cor,
2004-09,Pan American Airways,
2004-09,Scandinavian Airlines Systems,
2004-09,Singapore Airlines,
2004-09,Skywest Airlines Australia,
2004-09,Southwest Airlines,
2004-09,Spirit Airlines,
2004-09,Sun Country Airlines,
2004-09,Swiss Air,
2004-09,Tran Meridian Airlines,
2004-09,UAL,
2004-09,US Express,
2004-09,USA 3000 (U5,
2004-09,USAir,
2004-09,Virgin Atlantic,
2004-09,Western Pacific Airlines Inc Westpac,
2004-10,Aer Lingus,
2004-10,Aero Mexico,
2004-10,Air Canada,
2004-10,Air France,
2004-10,Air New Zealand,
2004-10,Air Tran Airlines(do not use,
2004-10,AirTran Airlines,
2004-10,Alaska Airlines,
2004-10,Allegiant Air,
2004-10,Aloha Airlines,
2004-10,America Trans Air,
2004-10,America West,
2004-10,American Airlines,
2004-10,American Eagle,
2004-10,American West,
2004-10,Arika Isreali Airlines,
2004-10,British Airways,
2004-10,Cape Air,
2004-10,Continental Airlines,
2004-10,Continental Express,
2004-10,Delta (Song,
2004-10,Delta Air Lines,
2004-10,EL AL Israeli Airlines,
2004-10,Egypt Air,
2004-10,Frontier Airlines,
2004-10,Hawaiian Airlines,
2004-10,Horizon Air,
2004-10,Iceland Air,
2004-10,Independence Air,
2004-10,Jet Blue,
2004-10,Jet Train Airlines,
2004-10,KLM Royal Dutch Airlines,
2004-10,Korean Airlines,
2004-10,LOT Polish Airlines,
2004-10,Lufthansa,
2004-10,Malaysian Airline System,
2004-10,Malev Hungarian Airlines,
2004-10,Mexicana,
2004-10,Midwest Express Airlines,
2004-10,Northwest Airlines,
2004-10,Northwest International Airways,
2004-10,OMNI Air Express- (OY,
2004-10,Pace Airlines,
2004-10,Polish Airlines,
2004-10,Qantus Airways,
2004-10,Saudi Arabian Airlines,
2004-10,Scandinavian Airlines Systems,
2004-10,Singapore Airlines,
2004-10,Skywest Airlines Australia,
2004-10,Skywest Airlines Inc USA,
2004-10,South African Airways,
2004-10,Southeast Airlines,
2004-10,Southwest Airlines,
2004-10,Spirit Airlines,
2004-10,Sun Country Airlines,
2004-10,Swiss Air,
2004-10,Thai Airways,
2004-10,UAL,
2004-10,US Express,
2004-10,USA 3000 (U5,
2004-10,USAir,
2004-10,Virgin Atlantic,
2004-11,Aer Lingus,
2004-11,Aero Mexico,
2004-11,Air Canada,
2004-11,Air France,
2004-11,Air New Zealand,
2004-11,Air Tran Airlines(do not use,
2004-11,AirTran Airlines,
2004-11,Alaska Airlines,
2004-11,Alitalia,
2004-11,Aloha Airlines,
2004-11,America Trans Air,
2004-11,America West,
2004-11,American Airlines,
2004-11,American West,
2004-11,British Airways,
2004-11,British West Indies Airlines,
2004-11,Civil Aviation - Non-Commercial Carrier,
2004-11,Continental Airlines,
2004-11,Continental Express,
2004-11,Delta (Song,
2004-11,Delta Air Lines,
2004-11,Frontier Airlines,
2004-11,Hawaiian Airlines,
2004-11,Horizon Air,
2004-11,Iceland Air,
2004-11,Independence Air,
2004-11,Indian Airlines,
2004-11,Island Airlines Nantucket,
2004-11,Japan Airlines,
2004-11,Jet Blue,
2004-11,KLM Royal Dutch Airlines,
2004-11,LOT Polish Airlines,
2004-11,Lufthansa,
2004-11,Midwest Express Airlines,
2004-11,Mountain West,
2004-11,Northwest Airlines,
2004-11,Northwest International Airways,
2004-11,Pan American Airways,
2004-11,Qantus Airways,
2004-11,Scandinavian Airlines Systems,
2004-11,Singapore Airlines,
2004-11,Skywest Airlines Inc USA,
2004-11,South African Airways,
2004-11,Southeast Airlines,
2004-11,Southwest Airlines,
2004-11,Spirit Airlines,
2004-11,UAL,
2004-11,USA 3000 (U5,
2004-11,USAir,
2004-11,Virgin Atlantic,
2004-12,ATA Aerocondor,
2004-12,Aer Lingus,
2004-12,Aero Mexico,
2004-12,Air Canada,
2004-12,Air France,
2004-12,Air Jamaica,
2004-12,Air New Zealand,
2004-12,Air Tran Airlines(do not use,
2004-12,AirTran Airlines,
2004-12,Alaska Airlines,
2004-12,Alitalia,
2004-12,Aloha Airlines,
2004-12,America Trans Air,
2004-12,America West,
2004-12,American Airlines,
2004-12,American Eagle,
2004-12,American West,
2004-12,Austrian Airlines,
2004-12,British Airways,
2004-12,Cameroon Airlines,
2004-12,China Southern Airlines,
2004-12,Continental Airlines,
2004-12,Continental Express,
2004-12,Delta (Song,
2004-12,Delta Air Lines,
2004-12,Frontier Airlines,
2004-12,Hawaiian Airlines,
2004-12,Horizon Air,
2004-12,Iceland Air,
2004-12,Independence Air,
2004-12,Japan Airlines,
2004-12,Jet Blue,
